,SensorId,L1H,L1T,L2H,L2T,L3H,L3T,TS
1203,E53490B59A25,20.5647,17.1,32.9346,16.6,42.5316,16.2,2020-05-09 11:00:04+00:00
1204,E53490B59A25,20.5459,17.1,32.9241,16.6,42.5294,16.2,2020-05-09 11:05:07+00:00
1205,E53490B59A25,20.5515,17.1,32.9297,16.6,42.5392,16.2,2020-05-09 11:10:10+00:00
1206,E53490B59A25,20.5496,17.1,32.9445,16.6,42.5498,16.3,2020-05-09 11:15:14+00:00
1207,E53490B59A25,20.5528,17.1,32.9601,16.6,42.5654,16.3,2020-05-09 11:20:17+00:00
1208,E53490B59A25,20.5682,17.1,32.9797,16.6,42.5808,16.3,2020-05-09 11:25:21+00:00
1209,E53490B59A25,20.5712,17.1,33.0077,16.6,42.6005,16.3,2020-05-09 11:30:35+00:00
1210,E53490B59A25,20.5554,17.1,33.0086,16.6,42.5931,16.3,2020-05-09 11:35:38+00:00
1211,E53490B59A25,20.5299,17.1,32.9956,16.7,42.5842,16.3,2020-05-09 11:40:42+00:00
1212,E53490B59A25,20.5247,17.1,32.9945,16.7,42.57899999999999,16.3,2020-05-09 11:45:45+00:00
1213,E53490B59A25,20.546999999999997,17.2,33.0127,16.7,42.6013,16.3,2020-05-09 11:50:49+00:00
1214,E53490B59A25,20.5473,17.2,33.0296,16.7,42.6057,16.3,2020-05-09 11:55:52+00:00
1215,E53490B59A25,20.5835,17.2,33.0658,16.7,42.6461,16.3,2020-05-09 12:00:55+00:00
1216,E53490B59A25,20.6203,17.2,33.1192,16.7,42.6829,16.3,2020-05-09 12:06:09+00:00
1217,E53490B59A25,20.6558,17.3,33.134,16.7,42.681000000000004,16.4,2020-05-09 12:11:13+00:00
1219,E53490B59A25,20.743000000000002,17.3,33.1421,16.7,42.6891,16.4,2020-05-09 12:16:19+00:00
1220,E53490B59A25,20.7415,17.4,33.203,16.7,42.7125,16.4,2020-05-09 12:21:23+00:00
1221,E53490B59A25,20.7276,17.4,33.1849,16.8,42.6945,16.4,2020-05-09 12:26:26+00:00
1222,E53490B59A25,20.7158,17.5,33.1648,16.8,42.691,16.4,2020-05-09 12:31:30+00:00
1223,E53490B59A25,20.7778,17.5,33.2059,16.8,42.7321,16.4,2020-05-09 12:36:34+00:00
1224,E53490B59A25,20.8018,17.6,33.23,16.8,42.7603,16.4,2020-05-09 12:41:37+00:00
1225,E53490B59A25,20.8003,17.7,33.2243,16.8,42.7547,16.4,2020-05-09 12:46:41+00:00
1226,E53490B59A25,20.7775,17.7,33.214,16.9,42.7402,16.4,2020-05-09 12:51:44+00:00
1227,E53490B59A25,20.7985,17.8,33.2225,16.9,42.7362,16.4,2020-05-09 12:56:48+00:00
1228,E53490B59A25,20.7862,17.9,33.2103,16.9,42.724,16.4,2020-05-09 13:02:01+00:00
1229,E53490B59A25,20.7971,18.0,33.1919,16.9,42.7265,16.4,2020-05-09 13:07:05+00:00
1232,E53490B59A25,20.7656,18.1,33.1896,17.0,42.7283,16.5,2020-05-09 13:17:15+00:00
1233,E53490B59A25,20.7255,18.2,33.162,17.0,42.7131,16.5,2020-05-09 13:22:18+00:00
1234,E53490B59A25,20.7417,18.3,33.1491,17.1,42.7169,16.5,2020-05-09 13:27:22+00:00
1235,E53490B59A25,20.736,18.3,33.1392,17.1,42.7279,16.5,2020-05-09 13:32:26+00:00
1236,E53490B59A25,20.7008,18.4,33.0957,17.2,42.7176,16.5,2020-05-09 13:37:30+00:00
1237,E53490B59A25,20.6677,18.4,33.0335,17.2,42.7096,16.5,2020-05-09 13:42:34+00:00
1238,E53490B59A25,20.5966,18.5,32.9374,17.2,42.7092,16.5,2020-05-09 13:47:37+00:00
1239,E53490B59A25,20.5533,18.5,32.8815,17.3,42.6991,16.6,2020-05-09 13:52:41+00:00
1240,E53490B59A25,20.5021,18.6,32.8345,17.3,42.6772,16.6,2020-05-09 13:57:55+00:00
1241,E53490B59A25,20.4801,18.6,32.7667,17.4,42.6343,16.6,2020-05-09 14:02:59+00:00
1242,E53490B59A25,20.5251,18.6,32.7326,17.4,42.6419,16.6,2020-05-09 14:08:02+00:00
1243,E53490B59A25,20.5515,18.7,32.6757,17.4,42.6141,16.6,2020-05-09 14:13:06+00:00
1244,E53490B59A25,20.5385,18.7,32.617,17.5,42.6053,16.7,2020-05-09 14:18:09+00:00
1245,E53490B59A25,20.5522,18.7,32.5848,17.5,42.619,16.7,2020-05-09 14:23:13+00:00
1246,E53490B59A25,20.5402,18.7,32.5353,17.5,42.6153,16.7,2020-05-09 14:28:17+00:00
1247,E53490B59A25,20.4778,18.7,32.4605,17.6,42.5654,16.7,2020-05-09 14:33:30+00:00
1248,E53490B59A25,20.4472,18.7,32.3882,17.6,42.5514,16.7,2020-05-09 14:38:34+00:00
1249,E53490B59A25,20.4511,18.7,32.3588,17.6,42.5595,16.8,2020-05-09 14:43:38+00:00
1250,E53490B59A25,20.4951,18.7,32.3612,17.6,42.6035,16.8,2020-05-09 14:48:41+00:00
1251,E53490B59A25,20.442999999999998,18.7,32.3091,17.7,42.5847,16.8,2020-05-09 14:53:45+00:00
1253,E53490B59A25,20.4099,18.7,32.2551,17.7,42.5807,16.8,2020-05-09 14:58:51+00:00
1254,E53490B59A25,20.3686,18.7,32.2097,17.7,42.5769,16.8,2020-05-09 15:03:55+00:00
1255,E53490B59A25,20.2829,18.8,32.1573,17.7,42.5537,16.9,2020-05-09 15:08:59+00:00
1257,E53490B59A25,20.066,18.8,32.1236,17.7,42.5574,16.9,2020-05-09 15:14:05+00:00
1259,E53490B59A25,19.9039,18.8,32.049,17.8,42.5369,16.9,2020-05-09 15:19:11+00:00
1262,E53490B59A25,19.7988,18.8,31.9522,17.8,42.5359,16.9,2020-05-09 15:34:22+00:00
1263,E53490B59A25,19.7081,18.8,31.899,17.8,42.4827,17.0,2020-05-09 15:39:26+00:00
1264,E53490B59A25,19.6436,18.8,31.8553,17.8,42.4432,17.0,2020-05-09 15:44:30+00:00
1265,E53490B59A25,19.5537,18.8,31.8028,17.9,42.3907,17.0,2020-05-09 15:49:33+00:00
1266,E53490B59A25,19.5161,18.8,31.7569,17.9,42.3532,17.0,2020-05-09 15:54:37+00:00
1267,E53490B59A25,19.4727,18.8,31.7219,17.9,42.3223,17.0,2020-05-09 15:59:40+00:00
1268,E53490B59A25,19.4253,18.7,31.686999999999998,17.9,42.2915,17.0,2020-05-09 16:04:44+00:00
1271,E53490B59A25,19.2569,18.6,31.5851,17.9,42.1605,17.1,2020-05-09 16:20:04+00:00
1272,E53490B59A25,19.2411,18.6,31.5901,17.9,42.1614,17.1,2020-05-09 16:25:08+00:00
1273,E53490B59A25,19.2231,18.6,31.593000000000004,17.9,42.1434,17.1,2020-05-09 16:30:11+00:00
1274,E53490B59A25,19.183,18.5,31.5737,17.9,42.12,17.1,2020-05-09 16:35:14+00:00
1275,E53490B59A25,19.1294,18.5,31.5409,17.9,42.0997,17.1,2020-05-09 16:40:27+00:00
1276,E53490B59A25,19.0971,18.4,31.5211,17.9,42.0882,17.1,2020-05-09 16:45:31+00:00
1277,E53490B59A25,19.13,18.4,31.5623,17.9,42.1252,17.1,2020-05-09 16:50:34+00:00
1278,E53490B59A25,19.1416,18.3,31.5823,17.9,42.1494,17.1,2020-05-09 16:55:37+00:00
1279,E53490B59A25,19.154,18.3,31.5821,17.9,42.17,17.2,2020-05-09 17:00:41+00:00
1280,E53490B59A25,19.0913,18.3,31.5195,17.9,42.1532,17.2,2020-05-09 17:05:54+00:00
1281,E53490B59A25,19.0264,18.2,31.4754,17.9,42.1299,17.2,2020-05-09 17:10:57+00:00
1282,E53490B59A25,18.9233,18.2,31.4306,17.9,42.0893,17.2,2020-05-09 17:16:01+00:00
1283,E53490B59A25,18.9524,18.2,31.4805,17.8,42.1391,17.2,2020-05-09 17:21:04+00:00
1284,E53490B59A25,18.8937,18.1,31.4634,17.8,42.1096,17.2,2020-05-09 17:26:07+00:00
1285,E53490B59A25,18.8539,18.1,31.4569,17.8,42.0989,17.2,2020-05-09 17:31:11+00:00
1286,E53490B59A25,18.7738,18.1,31.4059,17.8,42.0438,17.2,2020-05-09 17:36:14+00:00
1287,E53490B59A25,18.7677,18.0,31.4207,17.8,42.0419,17.2,2020-05-09 17:41:28+00:00
1288,E53490B59A25,18.6984,18.0,31.3847,17.8,41.9893,17.2,2020-05-09 17:46:31+00:00
1289,E53490B59A25,18.6913,18.0,31.3818,17.8,41.9697,17.2,2020-05-09 17:51:34+00:00
1291,E53490B59A25,18.6514,17.9,31.3627,17.7,41.9256,17.2,2020-05-09 17:56:40+00:00
1292,E53490B59A25,18.6208,17.9,31.3487,17.7,41.8867,17.2,2020-05-09 18:01:43+00:00
1293,E53490B59A25,18.5767,17.9,31.3588,17.7,41.8593,17.2,2020-05-09 18:06:46+00:00
1294,E53490B59A25,18.5343,17.9,31.3538,17.7,41.8335,17.2,2020-05-09 18:11:50+00:00
1295,E53490B59A25,18.5173,17.8,31.366,17.7,41.8373,17.2,2020-05-09 18:16:53+00:00
1296,E53490B59A25,18.4756,17.8,31.3659,17.7,41.8206,17.2,2020-05-09 18:21:56+00:00
1297,E53490B59A25,18.4368,17.8,31.3729,17.7,41.8067,17.2,2020-05-09 18:27:10+00:00
1298,E53490B59A25,18.3824,17.7,31.3643,17.6,41.7773,17.2,2020-05-09 18:32:13+00:00
1299,E53490B59A25,18.3124,17.7,31.3402,17.6,41.7324,17.2,2020-05-09 18:37:16+00:00
1301,E53490B59A25,18.2738,17.7,31.3348,17.6,41.7062,17.2,2020-05-09 18:42:22+00:00
1302,E53490B59A25,18.2458,17.6,31.3318,17.6,41.6907,17.2,2020-05-09 18:47:26+00:00
1303,E53490B59A25,18.2084,17.6,31.3361,17.6,41.67,17.2,2020-05-09 18:52:29+00:00
1304,E53490B59A25,18.172,17.6,31.3246,17.6,41.646,17.2,2020-05-09 18:57:33+00:00
1305,E53490B59A25,18.1366,17.5,31.3142,17.6,41.6231,17.2,2020-05-09 19:02:36+00:00
1307,E53490B59A25,18.1097,17.5,31.3081,17.5,41.6087,17.2,2020-05-09 19:07:42+00:00
1308,E53490B59A25,18.0806,17.4,31.2957,17.5,41.5963,17.2,2020-05-09 19:12:45+00:00
1310,E53490B59A25,18.0526,17.4,31.2802,17.5,41.5808,17.2,2020-05-09 19:17:51+00:00
1311,E53490B59A25,18.0216,17.4,31.2741,17.5,41.5622,17.2,2020-05-09 19:22:54+00:00
1312,E53490B59A25,17.9938,17.3,31.2546,17.5,41.5469,17.2,2020-05-09 19:27:58+00:00
1314,E53490B59A25,17.9639,17.3,31.2332,17.5,41.5338,17.2,2020-05-09 19:33:03+00:00
1316,E53490B59A25,17.9385,17.3,31.215999999999998,17.4,41.5249,17.2,2020-05-09 19:38:09+00:00
1317,E53490B59A25,17.94,17.2,31.2134,17.4,41.5348,17.2,2020-05-09 19:43:13+00:00
1319,E53490B59A25,17.9205,17.2,31.2105,17.4,41.5403,17.2,2020-05-09 19:48:18+00:00
1320,E53490B59A25,17.9038,17.1,31.2063,17.4,41.5319,17.1,2020-05-09 19:53:22+00:00
1321,E53490B59A25,17.8756,17.1,31.1906,17.4,41.5287,17.1,2020-05-09 19:58:25+00:00
1322,E53490B59A25,17.8535,17.0,31.180999999999997,17.3,41.5233,17.1,2020-05-09 20:03:28+00:00
1323,E53490B59A25,17.8221,17.0,31.162,17.3,41.5126,17.1,2020-05-09 20:08:32+00:00
1324,E53490B59A25,17.7947,17.0,31.1472,17.3,41.501999999999995,17.1,2020-05-09 20:13:35+00:00
1326,E53490B59A25,17.7698,16.9,31.1347,17.3,41.4978,17.1,2020-05-09 20:18:41+00:00
1328,E53490B59A25,17.7634,16.9,31.1242,17.2,41.4956,17.1,2020-05-09 20:23:47+00:00
1329,E53490B59A25,17.7384,16.9,31.1159,17.2,41.4873,17.1,2020-05-09 20:28:50+00:00
1331,E53490B59A25,17.7142,16.8,31.1167,17.2,41.4839,17.1,2020-05-09 20:33:56+00:00
1333,E53490B59A25,17.6795,16.8,31.0986,17.2,41.4741,17.1,2020-05-09 20:39:02+00:00
1334,E53490B59A25,17.654,16.8,31.0898,17.2,41.4653,17.1,2020-05-09 20:44:05+00:00
1335,E53490B59A25,17.6222,16.7,31.0871,17.1,41.4502,17.1,2020-05-09 20:49:18+00:00
1336,E53490B59A25,17.5882,16.7,31.0739,17.1,41.437,17.0,2020-05-09 20:54:22+00:00
1337,E53490B59A25,17.5478,16.7,31.0626,17.1,41.4174,17.0,2020-05-09 20:59:25+00:00
1338,E53490B59A25,17.521,16.6,31.0567,17.1,41.4114,17.0,2020-05-09 21:04:29+00:00
1339,E53490B59A25,17.5179,16.6,31.061999999999998,17.1,41.4084,17.0,2020-05-09 21:09:32+00:00
1340,E53490B59A25,17.5073,16.6,31.0679,17.0,41.406000000000006,17.0,2020-05-09 21:14:35+00:00
1341,E53490B59A25,17.5031,16.5,31.0763,17.0,41.4019,17.0,2020-05-09 21:19:39+00:00
1343,E53490B59A25,17.5019,16.5,31.0792,17.0,41.3923,17.0,2020-05-09 21:24:45+00:00
1345,E53490B59A25,17.4957,16.5,31.0855,17.0,41.3903,17.0,2020-05-09 21:29:51+00:00
1346,E53490B59A25,17.5033,16.4,31.0931,16.9,41.3937,17.0,2020-05-09 21:34:54+00:00
1348,E53490B59A25,17.5015,16.4,31.0954,16.9,41.396,16.9,2020-05-09 21:40:00+00:00
1349,E53490B59A25,17.4976,16.3,31.0958,16.9,41.3922,16.9,2020-05-09 21:45:03+00:00
1350,E53490B59A25,17.4918,16.3,31.1024,16.9,41.3947,16.9,2020-05-09 21:50:06+00:00
1351,E53490B59A25,17.4881,16.3,31.1071,16.9,41.3994,16.9,2020-05-09 21:55:10+00:00
1352,E53490B59A25,17.4769,16.3,31.1125,16.8,41.3923,16.9,2020-05-09 22:00:23+00:00
1353,E53490B59A25,17.4689,16.2,31.116999999999997,16.8,41.3926,16.9,2020-05-09 22:05:26+00:00
1354,E53490B59A25,17.4381,16.2,31.1237,16.8,41.3868,16.9,2020-05-09 22:10:29+00:00
1355,E53490B59A25,17.4263,16.2,31.1327,16.8,41.4,16.9,2020-05-09 22:15:33+00:00
1356,E53490B59A25,17.4045,16.2,31.1401,16.7,41.3949,16.9,2020-05-09 22:20:36+00:00
1357,E53490B59A25,17.343,16.1,31.141,16.7,41.3875,16.8,2020-05-09 22:25:40+00:00
1358,E53490B59A25,17.2616,16.1,31.1345,16.7,41.381,16.8,2020-05-09 22:30:43+00:00
1359,E53490B59A25,17.2187,16.1,31.1332,16.7,41.3756,16.8,2020-05-09 22:35:46+00:00
1360,E53490B59A25,17.1986,16.1,31.1298,16.7,41.368,16.8,2020-05-09 22:40:59+00:00
1361,E53490B59A25,17.1869,16.1,31.1264,16.6,41.3604,16.8,2020-05-09 22:46:03+00:00
1362,E53490B59A25,17.1699,16.1,31.1219,16.6,41.3517,16.8,2020-05-09 22:51:06+00:00
1363,E53490B59A25,17.1581,16.0,31.1185,16.6,41.3483,16.8,2020-05-09 22:56:09+00:00
1364,E53490B59A25,17.1422,16.0,31.1109,16.6,41.3366,16.8,2020-05-09 23:01:13+00:00
1365,E53490B59A25,17.1348,16.0,31.1118,16.6,41.3333,16.7,2020-05-09 23:06:16+00:00
1366,E53490B59A25,17.1232,16.0,31.1086,16.6,41.3301,16.7,2020-05-09 23:11:19+00:00
1367,E53490B59A25,17.1147,16.0,31.1084,16.5,41.3258,16.7,2020-05-09 23:16:22+00:00
1368,E53490B59A25,17.1001,16.0,31.1063,16.5,41.3194,16.7,2020-05-09 23:21:26+00:00
1370,E53490B59A25,17.0887,16.0,31.1073,16.5,41.3205,16.7,2020-05-09 23:26:31+00:00
1371,E53490B59A25,17.0825,15.9,31.1053,16.5,41.3185,16.7,2020-05-09 23:31:35+00:00
1373,E53490B59A25,17.0742,15.9,31.1053,16.5,41.3185,16.7,2020-05-09 23:36:40+00:00
1374,E53490B59A25,17.0566,15.9,31.0836,16.5,41.3176,16.7,2020-05-09 23:41:44+00:00
1375,E53490B59A25,17.0465,15.9,31.0859,16.4,41.3158,16.7,2020-05-09 23:46:57+00:00
1377,E53490B59A25,17.0457,15.9,31.0769,16.4,41.3192,16.6,2020-05-09 23:51:53+00:00
1378,E53490B59A25,17.0388,15.8,31.0741,16.4,41.3206,16.6,2020-05-09 23:57:06+00:00
1380,E53490B59A25,17.0359,15.8,31.0795,16.4,41.3218,16.6,2020-05-10 00:02:12+00:00
1382,E53490B59A25,17.0339,15.8,31.0734,16.4,41.3198,16.6,2020-05-10 00:07:17+00:00
1383,E53490B59A25,17.0256,15.8,31.0775,16.4,41.3157,16.6,2020-05-10 00:12:21+00:00
1384,E53490B59A25,17.0033,15.8,31.0719,16.4,41.3059,16.6,2020-05-10 00:17:24+00:00
1386,E53490B59A25,16.9918,15.8,31.0687,16.3,41.2985,16.6,2020-05-10 00:22:29+00:00
1387,E53490B59A25,16.9769,15.7,31.0664,16.3,41.292,16.6,2020-05-10 00:27:33+00:00
1389,E53490B59A25,16.9507,15.7,31.061,16.3,41.2825,16.6,2020-05-10 00:32:38+00:00
1390,E53490B59A25,16.9328,15.7,31.0639,16.3,41.2729,16.5,2020-05-10 00:37:42+00:00
1391,E53490B59A25,16.9089,15.7,31.065,16.3,41.2698,16.5,2020-05-10 00:42:45+00:00
1392,E53490B59A25,16.8955,15.7,31.0682,16.3,41.2647,16.5,2020-05-10 00:47:48+00:00
1393,E53490B59A25,16.8863,15.7,31.0673,16.3,41.2596,16.5,2020-05-10 00:52:52+00:00
1394,E53490B59A25,16.8844,15.7,31.0696,16.2,41.2578,16.5,2020-05-10 00:58:05+00:00
1396,E53490B59A25,16.8784,15.7,31.0719,16.2,41.2601,16.5,2020-05-10 01:03:01+00:00
1397,E53490B59A25,16.8733,15.7,31.0752,16.2,41.2592,16.5,2020-05-10 01:08:15+00:00
1399,E53490B59A25,16.865,15.7,31.070999999999998,16.2,41.2551,16.5,2020-05-10 01:13:10+00:00
1401,E53490B59A25,16.8525,15.6,31.0794,16.2,41.2509,16.5,2020-05-10 01:18:16+00:00
1402,E53490B59A25,16.8454,15.6,31.0764,16.2,41.2521,16.5,2020-05-10 01:23:19+00:00
1403,E53490B59A25,16.8447,15.6,31.0799,16.2,41.2514,16.4,2020-05-10 01:28:33+00:00
1404,E53490B59A25,16.8396,15.6,31.0831,16.2,41.2505,16.4,2020-05-10 01:33:36+00:00
1406,E53490B59A25,16.826,15.6,31.0779,16.1,41.2452,16.4,2020-05-10 01:38:42+00:00
1408,E53490B59A25,16.8197,15.6,31.0757,16.1,41.2389,16.4,2020-05-10 01:43:47+00:00
1410,E53490B59A25,16.8091,15.6,31.0692,16.1,41.2282,16.4,2020-05-10 01:48:53+00:00
1411,E53490B59A25,16.7993,15.6,31.0636,16.1,41.2185,16.4,2020-05-10 01:53:56+00:00
1412,E53490B59A25,16.7887,15.6,31.053,16.1,41.211999999999996,16.4,2020-05-10 01:59:00+00:00
1413,E53490B59A25,16.78,15.6,31.0485,16.1,41.2033,16.4,2020-05-10 02:04:03+00:00
1414,E53490B59A25,16.7771,15.6,31.0539,16.1,41.2088,16.4,2020-05-10 02:09:06+00:00
1415,E53490B59A25,16.772000000000002,15.6,31.0488,16.1,41.211999999999996,16.4,2020-05-10 02:14:09+00:00
1416,E53490B59A25,16.7805,15.6,31.0573,16.1,41.208,16.4,2020-05-10 02:19:13+00:00
1417,E53490B59A25,16.7733,15.6,31.05,16.1,41.2049,16.3,2020-05-10 02:24:26+00:00
1419,E53490B59A25,16.7691,15.5,31.0459,16.0,41.2008,16.3,2020-05-10 02:29:22+00:00
1420,E53490B59A25,16.7649,15.5,31.05,16.0,41.2008,16.3,2020-05-10 02:34:35+00:00
1421,E53490B59A25,16.7544,15.5,31.0562,16.0,41.1944,16.3,2020-05-10 02:39:38+00:00
1422,E53490B59A25,16.7512,15.5,31.053,16.0,41.1912,16.3,2020-05-10 02:44:42+00:00
1424,E53490B59A25,16.7439,15.5,31.054000000000002,16.0,41.1881,16.3,2020-05-10 02:49:48+00:00
1426,E53490B59A25,16.7387,15.5,31.0571,16.0,41.187,16.3,2020-05-10 02:54:53+00:00
1427,E53490B59A25,16.7345,15.5,31.0571,16.0,41.1829,16.3,2020-05-10 02:59:57+00:00
1429,E53490B59A25,16.7217,15.5,31.0526,16.0,41.1742,16.3,2020-05-10 03:05:02+00:00
1430,E53490B59A25,16.713,15.5,31.0356,16.0,41.1655,16.3,2020-05-10 03:10:06+00:00
1431,E53490B59A25,16.7076,15.5,31.0386,16.0,41.1601,16.3,2020-05-10 03:15:09+00:00
1433,E53490B59A25,16.7011,15.4,31.0362,16.0,41.1536,16.2,2020-05-10 03:20:15+00:00
1435,E53490B59A25,16.6829,15.4,31.0222,15.9,41.1396,16.2,2020-05-10 03:25:21+00:00
1436,E53490B59A25,16.6855,15.4,31.0164,15.9,41.1297,16.2,2020-05-10 03:30:24+00:00
1437,E53490B59A25,16.6745,15.4,31.0054,15.9,41.1228,16.2,2020-05-10 03:35:27+00:00
1439,E53490B59A25,16.6635,15.4,30.9986,15.9,41.1118,16.2,2020-05-10 03:40:33+00:00
1441,E53490B59A25,16.6556,15.4,30.9948,15.9,41.0998,16.2,2020-05-10 03:45:38+00:00
1443,E53490B59A25,16.6394,15.4,30.9828,15.9,41.0918,16.2,2020-05-10 03:50:44+00:00
1444,E53490B59A25,16.6327,15.3,30.9803,15.9,41.0852,16.2,2020-05-10 03:55:47+00:00
1446,E53490B59A25,16.6347,15.3,30.9864,15.9,41.0872,16.2,2020-05-10 04:00:53+00:00
1448,E53490B59A25,16.6376,15.3,30.980999999999998,15.9,41.0818,16.2,2020-05-10 04:05:59+00:00
1450,E53490B59A25,16.6345,15.3,30.9821,15.9,41.0787,16.2,2020-05-10 04:10:54+00:00
1451,E53490B59A25,16.637,15.3,30.9929,15.8,41.0854,16.2,2020-05-10 04:15:58+00:00
1452,E53490B59A25,16.6372,15.3,30.9889,15.8,41.0855,16.2,2020-05-10 04:21:11+00:00
1454,E53490B59A25,16.633,15.3,30.9889,15.8,41.0814,16.2,2020-05-10 04:26:17+00:00
1456,E53490B59A25,16.6142,15.2,30.9909,15.8,41.0792,16.1,2020-05-10 04:31:12+00:00
1457,E53490B59A25,16.61,15.2,30.9868,15.8,41.075,16.1,2020-05-10 04:36:26+00:00
1459,E53490B59A25,16.5996,15.2,30.9846,15.8,41.0687,16.1,2020-05-10 04:41:21+00:00
1460,E53490B59A25,16.5858,15.2,30.975,15.8,41.0633,16.1,2020-05-10 04:46:35+00:00
1461,E53490B59A25,16.5732,15.2,30.9749,15.8,41.059,16.1,2020-05-10 04:51:38+00:00
1463,E53490B59A25,16.5667,15.2,30.9684,15.8,41.0525,16.1,2020-05-10 04:56:43+00:00
1465,E53490B59A25,16.5657,15.2,30.9716,15.7,41.0515,16.1,2020-05-10 05:01:40+00:00
1467,E53490B59A25,16.5764,15.1,30.9739,15.7,41.0539,16.1,2020-05-10 05:06:46+00:00
1468,E53490B59A25,16.5744,15.1,30.9803,15.7,41.0602,16.1,2020-05-10 05:11:49+00:00
1470,E53490B59A25,16.5858,15.1,30.9875,15.7,41.0633,16.1,2020-05-10 05:16:55+00:00
1472,E53490B59A25,16.5972,15.1,30.9989,15.7,41.0664,16.1,2020-05-10 05:22:00+00:00
1474,E53490B59A25,16.6117,15.1,31.0009,15.7,41.0684,16.0,2020-05-10 05:27:06+00:00
1475,E53490B59A25,16.6273,15.1,31.0082,15.7,41.0798,16.0,2020-05-10 05:32:09+00:00
1477,E53490B59A25,16.6461,15.0,31.0311,15.6,41.0944,16.0,2020-05-10 05:37:15+00:00
1479,E53490B59A25,16.6611,15.0,31.0336,15.6,41.1011,16.0,2020-05-10 05:42:21+00:00
1481,E53490B59A25,16.6798,15.0,31.0524,15.6,41.1157,16.0,2020-05-10 05:47:27+00:00
1483,E53490B59A25,16.683,15.0,31.0472,15.6,41.1147,16.0,2020-05-10 05:52:33+00:00
1484,E53490B59A25,16.7028,15.0,31.0545,15.6,41.1262,16.0,2020-05-10 05:57:36+00:00
1485,E53490B59A25,16.7255,15.0,31.0565,15.6,41.1281,16.0,2020-05-10 06:02:40+00:00
1486,E53490B59A25,16.7365,15.0,31.0716,15.6,41.1307,16.0,2020-05-10 06:07:43+00:00
1487,E53490B59A25,16.7273,15.0,31.054000000000002,15.6,41.1215,16.0,2020-05-10 06:12:46+00:00
1489,E53490B59A25,16.7879,15.0,31.098000000000003,15.6,41.1738,15.9,2020-05-10 06:17:52+00:00
1490,E53490B59A25,16.7905,15.0,31.0923,15.6,41.1597,15.9,2020-05-10 06:22:55+00:00
1491,E53490B59A25,16.8111,15.0,31.0879,15.5,41.1595,15.9,2020-05-10 06:27:58+00:00
1492,E53490B59A25,16.8383,15.0,31.1026,15.5,41.1742,15.9,2020-05-10 06:33:02+00:00
1493,E53490B59A25,16.8937,15.0,31.1372,15.5,41.2005,15.9,2020-05-10 06:38:05+00:00
1494,E53490B59A25,16.9125,15.1,31.1351,15.5,41.2109,15.9,2020-05-10 06:43:19+00:00
1496,E53490B59A25,16.9258,15.1,31.1443,15.5,41.2201,15.9,2020-05-10 06:48:24+00:00
1497,E53490B59A25,16.9302,15.1,31.1529,15.5,41.2328,15.9,2020-05-10 06:53:28+00:00
1498,E53490B59A25,16.9231,15.1,31.1541,15.5,41.2299,15.9,2020-05-10 06:58:31+00:00
1499,E53490B59A25,16.9054,15.1,31.1447,15.5,41.2163,15.9,2020-05-10 07:03:34+00:00
1500,E53490B59A25,16.8843,15.2,31.1319,15.5,41.2077,15.9,2020-05-10 07:08:37+00:00
1501,E53490B59A25,16.8569,15.2,31.1337,15.5,41.2012,15.9,2020-05-10 07:13:41+00:00
1502,E53490B59A25,16.8582,15.2,31.1391,15.5,41.1983,15.9,2020-05-10 07:18:54+00:00
1503,E53490B59A25,16.8534,15.2,31.1511,15.5,41.2018,15.9,2020-05-10 07:23:57+00:00
1504,E53490B59A25,16.921,15.2,31.2144,15.5,41.2694,15.8,2020-05-10 07:29:01+00:00
1505,E53490B59A25,16.9195,15.2,31.2046,15.5,41.2554,15.8,2020-05-10 07:34:04+00:00
1506,E53490B59A25,16.8987,15.3,31.1922,15.5,41.2305,15.8,2020-05-10 07:39:07+00:00
1507,E53490B59A25,16.8912,15.3,31.1971,15.5,41.2188,15.8,2020-05-10 07:44:11+00:00
1508,E53490B59A25,16.9231,15.3,31.2248,15.5,41.2506,15.8,2020-05-10 07:49:14+00:00
1509,E53490B59A25,17.0123,15.3,31.2974,15.5,41.3274,15.8,2020-05-10 07:54:17+00:00
1510,E53490B59A25,17.0692,15.4,31.3293,15.5,41.3676,15.8,2020-05-10 07:59:30+00:00
1511,E53490B59A25,17.1536,15.4,31.3929,15.5,41.4312,15.8,2020-05-10 08:04:35+00:00
1512,E53490B59A25,17.2412,15.4,31.4223,15.5,41.4606,15.8,2020-05-10 08:09:38+00:00
1513,E53490B59A25,17.2144,15.5,31.3913,15.6,41.4088,15.8,2020-05-10 08:14:42+00:00
1514,E53490B59A25,17.3278,15.5,31.4506,15.6,41.4681,15.8,2020-05-10 08:19:45+00:00
1515,E53490B59A25,17.399,15.6,31.4885,15.6,41.4935,15.8,2020-05-10 08:24:49+00:00
1517,E53490B59A25,17.4628,15.6,31.5231,15.6,41.5198,15.8,2020-05-10 08:29:55+00:00
1519,E53490B59A25,17.5092,15.7,31.5279,15.6,41.5245,15.8,2020-05-10 08:35:02+00:00
1521,E53490B59A25,17.566,15.8,31.5264,15.7,41.523,15.8,2020-05-10 08:40:08+00:00
1523,E53490B59A25,17.5896,15.9,31.5041,15.7,41.4675,15.9,2020-05-10 08:45:05+00:00
