,TS,SensorId,L1H,L1T,L2H,L2T,L3H,L3T
0,2020-02-10 12:00:00,E53490B59A25,17.244,14.157142857142857,24.147142857142853,12.157142857142857,38.97531428571428,11.228571428571426
1,2020-02-10 13:00:00,E53490B59A25,17.3676,14.650000000000004,24.09761666666667,12.725,39.059666666666665,11.591666666666667
2,2020-02-10 14:00:00,E53490B59A25,17.046875,14.966666666666667,24.03226666666666,13.333333333333336,39.02588333333333,12.058333333333332
3,2020-02-10 15:00:00,E53490B59A25,16.191450000000003,15.0,23.8333,13.766666666666666,38.83869166666667,12.508333333333333
4,2020-02-10 16:00:00,E53490B59A25,15.19518181818182,14.809090909090907,23.679354545454544,13.963636363636365,38.62153636363636,12.836363636363638
5,2020-02-10 17:00:00,E53490B59A25,13.975616666666667,14.325,23.48791666666667,13.958333333333336,38.364266666666666,13.033333333333333
6,2020-02-10 18:00:00,E53490B59A25,12.658325,13.616666666666667,24.031425,13.725,38.23705,13.099999999999996
7,2020-02-10 19:00:00,E53490B59A25,12.192699999999995,12.891666666666666,23.63895833333333,13.383333333333333,38.153416666666665,13.066666666666665
8,2020-02-10 20:00:00,E53490B59A25,12.347541666666665,12.2,22.44066666666667,12.983333333333334,37.994266666666654,12.950000000000005
9,2020-02-10 21:00:00,E53490B59A25,11.108233333333333,11.6,22.316011111111113,12.622222222222225,37.62307777777778,12.788888888888886
10,2020-02-10 22:00:00,E53490B59A25,11.187225,11.083333333333336,22.215741666666666,12.241666666666667,37.9137,12.616666666666665
11,2020-02-10 23:00:00,E53490B59A25,10.851441666666664,10.633333333333336,22.183208333333337,11.883333333333333,37.88185000000001,12.425000000000002
12,2020-02-11 00:00:00,E53490B59A25,9.704219166666665,10.216666666666667,22.881833333333336,11.574999999999998,37.84456666666667,12.241666666666667
13,2020-02-11 01:00:00,E53490B59A25,8.659700833333334,9.874999999999998,23.094016666666665,11.275,37.74446666666668,12.058333333333332
14,2020-02-11 02:00:00,E53490B59A25,8.133760833333332,9.6,23.312650000000005,11.000000000000002,37.70535,11.866666666666667
15,2020-02-11 03:00:00,E53490B59A25,7.726689090909091,9.363636363636363,23.50008181818182,10.736363636363636,37.72995454545454,11.7
16,2020-02-11 04:00:00,E53490B59A25,7.6068849999999975,9.141666666666664,23.458525,10.508333333333336,37.69195,11.541666666666664
17,2020-02-11 05:00:00,E53490B59A25,7.519214999999999,8.908333333333333,23.31674166666667,10.275,37.63864166666667,11.366666666666667
18,2020-02-11 06:00:00,E53490B59A25,7.346254166666667,8.733333333333336,23.30685,10.041666666666666,37.61765,11.191666666666668
19,2020-02-11 07:00:00,E53490B59A25,8.205490000000001,8.625,23.28030833333333,9.783333333333333,38.01403333333333,10.9
20,2020-02-11 08:00:00,E53490B59A25,9.155102727272727,9.190909090909091,23.1079,9.70909090909091,38.24578181818183,10.745454545454548
21,2020-02-11 09:00:00,E53490B59A25,10.358321666666667,10.616666666666667,23.25143333333333,9.975,38.383841666666655,10.7
22,2020-02-11 10:00:00,E53490B59A25,11.709033333333332,12.433333333333332,23.45023333333334,10.708333333333334,38.542725,10.816666666666668
23,2020-02-11 11:00:00,E53490B59A25,12.828875000000002,13.91666666666667,23.64369166666667,11.666666666666664,38.69629166666667,11.125
24,2020-02-11 12:00:00,E53490B59A25,13.535133333333334,14.875,23.84235000000001,12.616666666666667,38.85467500000001,11.558333333333332
25,2020-02-11 13:00:00,E53490B59A25,13.673591666666667,15.524999999999995,23.91279166666667,13.374999999999998,38.99625833333333,12.058333333333332
26,2020-02-11 14:00:00,E53490B59A25,13.328145454545455,15.7,23.88917272727273,13.909090909090908,38.999036363636364,12.5
27,2020-02-11 15:00:00,E53490B59A25,11.681875,15.583333333333336,23.64025833333334,14.283333333333333,38.73484166666667,12.975
28,2020-02-11 16:00:00,E53490B59A25,10.423611666666664,15.216666666666667,23.5197,14.400000000000004,38.54661666666666,13.266666666666667
29,2020-02-11 17:00:00,E53490B59A25,9.200475833333334,14.666666666666664,23.27361666666667,14.358333333333334,38.25716666666667,13.441666666666668
30,2020-02-11 18:00:00,E53490B59A25,8.232000000000001,13.966666666666667,23.221791666666665,14.108333333333333,38.088425,13.5
31,2020-02-11 19:00:00,E53490B59A25,7.569113999999999,13.34,23.13661,13.77,38.00837,13.420000000000002
32,2020-02-11 20:00:00,E53490B59A25,6.600626666666668,12.733333333333333,23.47583333333333,13.41666666666667,37.98023333333333,13.299999999999995
33,2020-02-11 21:00:00,E53490B59A25,6.3804583333333325,12.108333333333334,23.40414166666667,13.025,37.902291666666656,13.141666666666666
34,2020-02-11 22:00:00,E53490B59A25,6.1709675000000015,11.591666666666667,23.20229166666667,12.658333333333333,37.82189166666667,12.950000000000005
35,2020-02-11 23:00:00,E53490B59A25,5.8344925000000005,11.108333333333333,23.03305833333333,12.308333333333332,37.73938333333334,12.75
36,2020-02-12 00:00:00,E53490B59A25,5.696241666666666,10.699999999999998,23.05230833333333,11.975,37.68023333333335,12.558333333333332
37,2020-02-12 01:00:00,E53490B59A25,5.871345000000002,10.32,22.8074,11.7,37.610459999999996,12.38
38,2020-02-12 02:00:00,E53490B59A25,5.6538233333333325,10.025,22.81284166666667,11.433333333333335,37.56251666666665,12.2
39,2020-02-12 03:00:00,E53490B59A25,5.4916175,9.741666666666667,22.80364166666667,11.166666666666664,37.51135833333333,12.025
40,2020-02-12 04:00:00,E53490B59A25,5.544507500000001,9.533333333333333,22.503316666666667,10.908333333333333,37.45738333333333,11.85
